interaction_id,user_id,product_id,event_type,rating,session_id,event_time,category_id,product_avg_rating,score,score_norm
4346,103,186,purchase,0.0,194,2026-03-11 11:42:23.126875,7,3.5,5.0,1.0
7979,278,120,purchase,0.0,368,2025-12-14 11:42:23.195470,10,4.2,5.0,1.0
43,341,117,purchase,0.0,2,2025-11-29 11:42:23.039352,2,4.6,5.0,1.0
7971,256,35,purchase,0.0,368,2026-05-22 11:42:23.195231,12,3.6,5.0,1.0
47,138,106,purchase,0.0,2,2025-12-30 11:42:23.039456,3,4.1,5.0,1.0
1233,66,187,purchase,0.0,57,2026-02-08 11:42:23.067307,4,5.0,5.0,1.0
6959,405,90,purchase,0.0,316,2026-03-06 11:42:23.175223,17,2.5,5.0,1.0
6960,254,50,purchase,0.0,316,2026-04-29 11:42:23.175268,20,3.0,5.0,1.0
1187,490,67,purchase,0.0,56,2025-12-25 11:42:23.066564,8,4.1,5.0,1.0
1193,500,129,purchase,0.0,56,2026-02-24 11:42:23.066677,25,3.1,5.0,1.0
1196,301,158,purchase,0.0,56,2026-03-25 11:42:23.066735,2,3.8,5.0,1.0
5203,192,187,purchase,0.0,234,2026-01-04 11:42:23.141772,4,5.0,5.0,1.0
1245,235,144,purchase,0.0,57,2026-05-09 11:42:23.067493,2,3.8,5.0,1.0
1246,41,97,purchase,0.0,57,2026-01-01 11:42:23.067507,12,3.1,5.0,1.0
6913,186,128,purchase,0.0,314,2026-04-20 11:42:23.174487,2,3.5,5.0,1.0
6915,336,120,purchase,0.0,314,2026-05-16 11:42:23.174515,10,4.2,5.0,1.0
5225,257,157,purchase,0.0,234,2026-03-16 11:42:23.142115,19,4.4,5.0,1.0
5955,77,169,purchase,0.0,270,2026-03-20 11:42:23.157926,4,4.0,5.0,1.0
5958,349,124,purchase,0.0,271,2026-01-06 11:42:23.157993,4,3.5,5.0,1.0
5979,443,180,purchase,0.0,271,2026-05-11 11:42:23.158447,13,3.0,5.0,1.0
4320,276,2,purchase,0.0,192,2026-02-16 11:42:23.126329,12,4.7,5.0,1.0
4389,377,98,purchase,0.0,194,2025-12-15 11:42:23.127595,20,3.9,5.0,1.0
7943,163,150,purchase,0.0,367,2026-03-05 11:42:23.194516,7,4.4,5.0,1.0
7952,180,145,purchase,0.0,367,2026-04-08 11:42:23.194803,2,3.9,5.0,1.0
56,200,178,purchase,0.0,2,2026-03-10 11:42:23.039679,15,4.3,5.0,1.0
64,291,136,purchase,0.0,2,2026-02-28 11:42:23.039888,7,3.7,5.0,1.0
7954,77,70,purchase,0.0,368,2026-01-05 11:42:23.194837,17,4.7,5.0,1.0
4381,470,122,purchase,0.0,194,2025-12-20 11:42:23.127439,3,2.8,5.0,1.0
4325,80,117,purchase,0.0,193,2026-03-25 11:42:23.126527,2,4.6,5.0,1.0
84,337,48,purchase,0.0,3,2025-11-29 11:42:23.040405,20,3.4,5.0,1.0
92,377,28,purchase,0.0,3,2026-03-21 11:42:23.040681,23,4.9,5.0,1.0
4391,182,97,purchase,0.0,194,2026-03-20 11:42:23.127628,12,3.1,5.0,1.0
4297,144,6,purchase,0.0,190,2026-04-17 11:42:23.125947,14,2.5,5.0,1.0
2365,124,32,purchase,0.0,103,2026-03-04 11:42:23.087562,5,4.6,5.0,1.0
2368,277,171,purchase,0.0,103,2025-12-08 11:42:23.087605,9,5.0,5.0,1.0
6002,440,194,purchase,0.0,271,2026-04-03 11:42:23.159269,4,3.3,5.0,1.0
2403,225,106,purchase,0.0,106,2026-05-01 11:42:23.088121,3,4.1,5.0,1.0
2404,171,59,purchase,0.0,106,2026-03-16 11:42:23.088138,3,2.7,5.0,1.0
2405,166,90,purchase,0.0,107,2026-01-31 11:42:23.088152,17,2.5,5.0,1.0
5954,78,3,purchase,0.0,270,2026-05-16 11:42:23.157907,18,3.2,5.0,1.0
112,247,60,purchase,0.0,4,2026-05-17 11:42:23.041174,20,4.1,5.0,1.0
7907,475,39,purchase,0.0,365,2026-03-24 11:42:23.193575,3,2.9,5.0,1.0
7910,64,151,purchase,0.0,365,2026-02-01 11:42:23.193641,7,3.9,5.0,1.0
7911,122,20,purchase,0.0,365,2026-04-05 11:42:23.193663,12,3.0,5.0,1.0
4408,488,24,purchase,0.0,194,2026-03-23 11:42:23.127896,22,4.3,5.0,1.0
4414,364,37,purchase,0.0,194,2025-12-29 11:42:23.127989,15,4.2,5.0,1.0
4276,77,167,purchase,0.0,190,2026-05-15 11:42:23.125314,18,4.8,5.0,1.0
7883,347,70,purchase,0.0,365,2026-04-24 11:42:23.192901,17,4.7,5.0,1.0
2427,113,131,purchase,0.0,107,2026-01-07 11:42:23.088835,17,2.6,5.0,1.0
2402,348,2,purchase,0.0,106,2026-01-21 11:42:23.088106,12,4.7,5.0,1.0
2350,245,180,purchase,0.0,101,2025-12-16 11:42:23.087338,13,3.0,5.0,1.0
2327,392,171,purchase,0.0,100,2025-12-11 11:42:23.086993,9,5.0,5.0,1.0
2356,423,106,purchase,0.0,102,2026-03-14 11:42:23.087424,3,4.1,5.0,1.0
5229,404,83,purchase,0.0,234,2025-12-02 11:42:23.142175,24,3.6,5.0,1.0
3329,160,170,purchase,0.0,138,2026-01-28 11:42:23.105909,8,4.4,5.0,1.0
3332,272,154,purchase,0.0,138,2026-04-10 11:42:23.105955,15,4.0,5.0,1.0
1250,315,18,purchase,0.0,57,2026-04-16 11:42:23.067571,13,4.5,5.0,1.0
6968,292,176,purchase,0.0,317,2026-02-24 11:42:23.175406,5,4.2,5.0,1.0
6970,34,73,purchase,0.0,317,2026-05-17 11:42:23.175435,20,2.9,5.0,1.0
5182,33,163,purchase,0.0,232,2025-12-15 11:42:23.141421,23,4.7,5.0,1.0
3380,11,170,purchase,0.0,139,2026-04-28 11:42:23.106761,8,4.4,5.0,1.0
3381,421,40,purchase,0.0,139,2026-01-07 11:42:23.106776,23,2.8,5.0,1.0
3386,459,129,purchase,0.0,139,2026-01-19 11:42:23.106852,25,3.1,5.0,1.0
5187,201,119,purchase,0.0,233,2026-04-19 11:42:23.141498,23,4.3,5.0,1.0
1257,275,145,purchase,0.0,57,2025-11-28 11:42:23.067681,2,3.9,5.0,1.0
4438,16,161,purchase,0.0,197,2026-03-25 11:42:23.128370,23,3.8,5.0,1.0
6019,371,115,purchase,0.0,271,2026-05-21 11:42:23.159819,8,4.4,5.0,1.0
6021,172,75,purchase,0.0,271,2026-01-13 11:42:23.159851,17,4.7,5.0,1.0
2443,146,134,purchase,0.0,107,2026-05-07 11:42:23.089160,15,2.7,5.0,1.0
5937,444,174,purchase,0.0,269,2026-05-25 11:42:23.157568,23,4.9,5.0,1.0
2417,429,152,purchase,0.0,107,2025-12-28 11:42:23.088332,18,3.0,5.0,1.0
2424,439,137,purchase,0.0,107,2026-04-28 11:42:23.088748,24,4.0,5.0,1.0
2426,291,138,purchase,0.0,107,2026-04-24 11:42:23.088818,3,4.7,5.0,1.0
111,303,174,purchase,0.0,4,2026-01-09 11:42:23.041148,23,4.9,5.0,1.0
2333,330,10,purchase,0.0,100,2026-05-12 11:42:23.087088,25,4.2,5.0,1.0
135,187,172,purchase,0.0,5,2026-05-13 11:42:23.041921,18,4.6,5.0,1.0
139,191,19,purchase,0.0,5,2026-02-02 11:42:23.042007,18,4.7,5.0,1.0
142,463,106,purchase,0.0,5,2026-02-19 11:42:23.042073,3,4.1,5.0,1.0
144,189,56,purchase,0.0,5,2026-01-30 11:42:23.042115,17,2.9,5.0,1.0
4443,100,64,purchase,0.0,197,2026-01-16 11:42:23.128459,4,4.5,5.0,1.0
4447,190,70,purchase,0.0,197,2026-02-15 11:42:23.128526,17,4.7,5.0,1.0
4244,358,1,purchase,0.0,188,2026-02-02 11:42:23.124184,15,4.6,5.0,1.0
151,273,106,purchase,0.0,6,2026-01-21 11:42:23.042291,3,4.1,5.0,1.0
125,285,46,purchase,0.0,5,2025-11-27 11:42:23.041591,15,4.9,5.0,1.0
4259,40,121,purchase,0.0,188,2026-05-10 11:42:23.124711,7,4.0,5.0,1.0
4264,80,199,purchase,0.0,188,2026-05-09 11:42:23.124918,4,2.8,5.0,1.0
