interaction_id,user_id,product_id,event_type,rating,session_id,event_time,category_id,product_avg_rating,score,score_norm
125,285,46,purchase,0.0,5,2025-11-27 11:42:23.041591,15,4.9,5.0,1.0
414,477,22,view,0.0,18,2025-11-27 11:42:23.048669,19,3.4,1.0,0.2
743,378,46,view,0.0,34,2025-11-27 11:42:23.056129,15,4.9,1.0,0.2
788,290,32,view,0.0,35,2025-11-27 11:42:23.057192,5,4.6,1.0,0.2
789,65,56,click,0.0,35,2025-11-27 11:42:23.057215,17,2.9,2.0,0.4
925,214,95,view,0.0,41,2025-11-27 11:42:23.060576,2,3.5,1.0,0.2
1365,479,10,view,0.0,63,2025-11-27 11:42:23.069657,25,4.2,1.0,0.2
1399,109,19,click,0.0,66,2025-11-27 11:42:23.070694,18,4.7,2.0,0.4
1648,493,71,view,0.0,74,2025-11-27 11:42:23.076466,15,4.7,1.0,0.2
1800,207,100,add_to_cart,0.0,81,2025-11-27 11:42:23.078782,22,2.6,3.0,0.6
1810,379,89,click,0.0,81,2025-11-27 11:42:23.078933,22,2.6,2.0,0.4
1918,20,115,click,0.0,88,2025-11-27 11:42:23.080627,8,4.4,2.0,0.4
2133,196,17,click,0.0,96,2025-11-27 11:42:23.084085,5,2.7,2.0,0.4
2177,317,53,view,0.0,97,2025-11-27 11:42:23.084731,4,3.5,1.0,0.2
2270,244,62,click,0.0,98,2025-11-27 11:42:23.086128,10,3.4,2.0,0.4
2666,388,43,view,0.0,111,2025-11-27 11:42:23.093220,24,4.3,1.0,0.2
2682,90,94,add_to_cart,0.0,111,2025-11-27 11:42:23.093667,20,4.1,3.0,0.6
2720,400,54,click,0.0,111,2025-11-27 11:42:23.094920,23,4.4,2.0,0.4
2779,188,103,view,0.0,113,2025-11-27 11:42:23.096175,15,2.9,1.0,0.2
3567,139,66,view,0.0,151,2025-11-27 11:42:23.109633,4,4.2,1.0,0.2
3804,101,123,purchase,0.0,159,2025-11-27 11:42:23.113751,7,3.6,5.0,1.0
4350,180,42,click,0.0,194,2025-11-27 11:42:23.126939,2,4.5,2.0,0.4
4519,338,150,click,0.0,202,2025-11-27 11:42:23.129671,7,4.4,2.0,0.4
5021,238,159,click,0.0,225,2025-11-27 11:42:23.138697,12,2.5,2.0,0.4
5518,254,127,click,0.0,243,2025-11-27 11:42:23.146890,12,4.7,2.0,0.4
5723,403,162,view,0.0,257,2025-11-27 11:42:23.150678,15,4.9,1.0,0.2
5982,157,97,view,0.0,271,2025-11-27 11:42:23.158590,12,3.1,1.0,0.2
6421,141,127,view,0.0,292,2025-11-27 11:42:23.166024,12,4.7,1.0,0.2
6488,472,65,add_to_cart,0.0,297,2025-11-27 11:42:23.167281,23,3.1,3.0,0.6
6528,343,56,view,0.0,298,2025-11-27 11:42:23.168057,17,2.9,1.0,0.2
6699,128,34,click,0.0,306,2025-11-27 11:42:23.170790,8,4.0,2.0,0.4
7449,218,126,view,0.0,340,2025-11-27 11:42:23.183023,9,3.3,1.0,0.2
7874,350,115,click,0.0,364,2025-11-27 11:42:23.192485,8,4.4,2.0,0.4
36,280,8,view,0.0,1,2025-11-28 11:42:23.039145,15,3.8,1.0,0.2
63,139,45,view,0.0,2,2025-11-28 11:42:23.039863,14,4.8,1.0,0.2
173,32,193,click,0.0,8,2025-11-28 11:42:23.042757,22,3.3,2.0,0.4
331,292,126,click,0.0,14,2025-11-28 11:42:23.046667,9,3.3,2.0,0.4
336,25,99,view,0.0,14,2025-11-28 11:42:23.046809,12,4.8,1.0,0.2
427,191,43,purchase,0.0,19,2025-11-28 11:42:23.048979,24,4.3,5.0,1.0
469,269,103,purchase,0.0,19,2025-11-28 11:42:23.050052,15,2.9,5.0,1.0
815,328,138,view,0.0,36,2025-11-28 11:42:23.057875,3,4.7,1.0,0.2
894,380,105,click,0.0,41,2025-11-28 11:42:23.059812,7,4.5,2.0,0.4
1257,275,145,purchase,0.0,57,2025-11-28 11:42:23.067681,2,3.9,5.0,1.0
1265,353,179,view,0.0,58,2025-11-28 11:42:23.067809,8,4.7,1.0,0.2
